"","","","","",""
"Item No ","Description","Unit ","Qty ","Rate ","Amount "
"","(a) In 20cm thick Suspended Floor Slab","m2","  172.89 ","  762.00 ","  131,742.18 "
"","(b)  In 30cm thick ground floor ribbed slab with concrete slab beam & 24cm thick block work. Unit price includes laying of the slab blocks and All the necessary details Required","m2","  4,724.10 ","  733.00 ","  3,462,765.30 "
"","(c) In 15 cm thick  Roof Slab","m2","  685.90 ","  572.00 ","  392,334.80 "
"","(d) In floor beam","m3","  391.57 ","  3,810.00 ","  1,491,872.18 "
"","(e) In roof beam","m3","  66.56 ","  3,810.00 ","  253,603.13 "
"","(f) In stair case","m3","  65.01 ","  3,810.00 ","  247,690.01 "
"1.3","Provide ,cut and fix in position sawn Zigba wood formwork that should be strong  to resist the pressure of fresh concret.Price includes placing in position, fixing and dismantling for :","","","",""
"","(a) Elevation column","m2","  2,681.64 ","  286.00 ","  766,949.04 "
"","(b) Suspended Solid floor slab ","m2","  4,896.99 ","  286.00 ","  1,400,539.14 "
"","(c) Roof slab ","m2","  685.90 ","  286.00 ","  196,167.40 "
"","(d) floor beam","m2","  2,234.70 ","  286.00 ","  639,124.20 "
"","(e)  Roof beam","m2","  476.26 ","  286.00 ","  136,211.08 "
"","(f)  Stair case","m2","  430.29 ","  286.00 ","  123,063.66 "
"","(g) lift shaft","m2","  1,361.18 ","  286.00 ","  389,298.62 "
"1.4","Provide and Fix S-400 Mild steel reinforcement bars according to structural drawings. Price Includes Cutting, Bending, Placing in position and tying wires and concrete spacers.","","","",""
"","(a) Dia  6 mm plain bar","Kg","  6,006.44 ","  41.00 ","  246,263.87 "
"","(b) Dia  8 mm deformed bar","Kg","  922.30 ","  41.00 ","  37,814.36 "
"","(c) Dia  10mm deformed bar","Kg","  40,694.28 ","  41.00 ","  1,668,465.56 "
"","(d) Dia  12mm deformed bar","Kg","  50,976.34 ","  41.00 ","  2,090,030.00 "
"","(e) Dia  14mm deformed bar","Kg","  38,620.63 ","  41.00 ","  1,583,445.76 "
"","(f) Dia  16mm deformed bar","Kg","  23,275.86 ","  41.00 ","  954,310.08 "
"","(g) Dia  20 mm deformed bar","Kg","  139,453.25 ","  41.00 ","  5,717,583.42 "
"","(h) Dia  24 mm deformed bar","Kg","  4,675.54 ","  41.00 ","  191,697.02 "
"","Total Carried To Summary","","","","  24,499,380.99 "
"","2. Block Work","","","",""
"","Walls shall be constructed from class 'B' hollow concrete blocks. The blocks shall be selected for their consistency in dimension, Shape, angles and strength.  The Blocks should also  be free from cracks or any other  defects and the surface characteristic of the blocks shall be in such a way that good key for plaster is obtained.","","","",""
"","","","","",""
"2.1","Supply and Construct 20cm thick Class B - HCB wall, embedded in cement-sand mortar of 1:3 mix ratio. Both Sides left for plastering","m2","  3,997.78 ","  435.00 ","  1,739,035.17 "
"2.2","Ditto but 150mm thick HCB walls.","m2","  2,539.60 ","  393.00 ","  998,062.80 "
"","Total Carried To Summary","","","","  2,737,097.97 "
"","3. Carpentery and Joinery (FLUSH DOORS)","","","",""
"","","","","",""
"3.1","Supply and fix 3F type or equivalent veneer taped flush wooden doors with semi solid core both sides covered 4mm thick best quality ply-wood top, bottom and sides lipped and edged with hard wood. Price  includes three coat of varnish paint,  door stopper and iron mangery ,approved type cylindrical door lock.","","","",""
"","(a) Type D1 Size 90 cm x 280cm ","No","  147.00 ","  14,990.00 ","  2,203,530.00 "
"","(b) Type D1 Size 80 cm x 210cm ","No","  157.00 ","  9,993.00 ","  1,568,901.00 "
"3.2","High quality ASSA alloy or equivalent door lock approved by the Architect. Price includes all the necessary works needed to complete the work","No","  304.00 ","  1,500.00 ","  456,000.00 "
"3.3","50mm thick door constructed from 18mm thick glass magnesium board on treated solid wood with 25mm halit fire proof insulated fill,3mm fire proof veneer layer and finished with insturmescent strip seal with fiber mesh glass vision pannel with resistance time 30min","","","",""
"","Size  of Door : 160 cm x 240 cm ","No","  10.00 ","  81,455.00 ","  814,550.00 "
"","Total Carried To Summary","","","","  5,042,981.00 "
"","4. Aluminium  Works ","","","",""
"","All doors and window are manufactured from EURO profile or Equivalent aluminum profile frames. All works should be cut and assembled to sizes and shaps of the window and door schedule up on submitting work shop drawing by the contractor. Unit price includes supply and installation of gardian or Equivalent  6 12 6 Double glazing , anchor bolts, 2mm thick aluminum cover plates, cylindrical locks, door stoppers and all other necessary accessories specified or not on the detail drowing to completing the work all according to window  and  door schedule ","","","",""
"4.1","","","","",""
"","(Window) Type W1 Size 360cmX280cm","No","  154.00 ","  45,360.00 ","  6,985,440.00 "
"","(Window) Type  W2 Size170cmx280cm","No","  11.00 ","  21,420.00 ","  235,620.00 "
"","(Window) Type W3 Size 180cmx280cm","No","  11.00 ","  22,680.00 ","  249,480.00 "
"4.2","","","","",""
"","(Doors) Type D4 Size 160cm  X 280cm ","No","  22.00 ","  20,832.00 ","  458,304.00 "
"","(Doors) Type D5 Size 120cm  X 280cm ","No","  2.00 ","  15,624.00 ","  31,248.00 "
"4.3","","","","",""
"","(Window Doors) Type WD 1 Size 180cm  X280cm","No","  4.00 ","  24,192.00 ","  96,768.00 "
"","(Window Doors) Type WD 2 Size235cm X 280cm","No","  11.00 ","  31,584.00 ","  347,424.00 "
